article_id,accident_id,date_time,accident_type,location,road_name,text_start_char,text_end_char,temperature_2m,precipitation,windspeed_10m,cloud_cover,weather_code
492115,0,2025-08-29 15:00:00,collision,Marsa,Police investigations are under way,0,600,28.5,0.0,25.0,100.0,3.0
492291,0,2025-08-31 08:00:00,collision,Qormi,,0,765,26.8,0.0,14.5,0.0,0.0
492646,0,2025-09-03 15:00:00,collision,,Sicily motorway,0,888,26.3,0.0,22.9,96.0,3.0
492654,0,2025-09-03 18:00:00,collision,Zebbug,Ragusa state road,0,891,25.5,0.0,27.1,28.0,1.0
492806,0,2025-09-04 15:00:00,collision,Gzira,,0,590,28.6,0.0,7.6,7.0,0.0
492962,0,2025-09-07 21:10:00,collision,,,0,1104,25.8,0.0,9.0,26.0,1.0
493044,0,2025-09-07 15:00:00,collision,Luqa,,0,539,29.4,0.0,10.5,100.0,3.0
493372,0,2025-09-11 08:00:00,motorcycle_fall,,Wottan Storm,0,407,26.9,0.0,10.0,52.0,2.0
493542,0,2025-09-12 15:00:00,collision,Marsa,corner at the top of the street,0,1352,28.8,0.0,10.7,2.0,0.0
493598,0,2025-09-12 15:00:00,collision,Marsa,,0,555,28.8,0.0,10.7,2.0,0.0
493702,0,2025-09-14 00:00:00,unknown,Zabbar,,0,723,24.0,0.0,2.3,0.0,0.0
493664,0,2025-09-13 21:00:00,collision,Marsa,,0,501,24.8,0.0,3.1,0.0,0.0
493670,0,2025-09-13 21:00:00,unknown,,,0,86,26.0,0.0,6.9,0.0,0.0
493670,1,2025-09-14 23:00:00,collision,,the St Paul's,86,345,25.5,0.0,12.4,16.0,0.0
493670,2,2025-09-14 01:30:00,collision,,,346,796,25.9,0.0,7.4,0.0,0.0
493898,0,2025-09-16 15:00:00,collision,,Republic Street,0,316,26.3,0.0,9.0,0.0,0.0
493983,0,2025-09-16 18:00:00,collision,Zabbar,,0,536,27.1,0.0,8.4,0.0,0.0
494102,0,2025-09-17 00:00:00,collision,St Paul's Bay,minor road,0,3568,23.6,0.0,3.9,0.0,0.0
