person_id,article_id,age,gender,severity,is_driver,vehicle_type,person_state
435,491720,44,female,serious,True,motorcycle,drunk
436,491720,,,fatal,True,motorcycle,drunk
437,492026,44,female,serious,True,motorcycle,drunk
438,492026,53,,,True,,
439,492029,53,female,,False,,
440,492029,,male,,False,,
441,492029,,,,True,,
442,492029,,,,False,,
443,492115,,male,grievous,True,car,
444,492115,,male,,False,,
445,492291,87,female,grievous,False,,
446,492291,68,male,,True,hit by a vehicle,
447,492291,,,,False,,
448,492654,69,female,fatal,False,,
449,492806,35,male,serious,True,motorcycle,
450,492806,24,male,light,True,,
451,492962,62,female,,False,,
452,492962,22,female,,False,,
453,493044,62,male,serious,True,motorcycle,
454,493044,35,male,,True,car,
455,493372,33,male,serious,True,motorcycle,
456,493542,,male,,True,,
457,493542,,female,,False,,
458,493542,,,,True,,drunk
459,493598,3,female,,False,,
460,493598,70,female,,False,,
461,493598,,,,True,,
462,493702,52,male,grievous,True,motorcycle,
463,493702,14,,,False,,
464,493664,54,male,serious,False,,
465,493670,69,male,,False,,
466,493670,,male,serious,True,motorcycle,
467,493670,24,male,,True,car,
468,493898,29,female,serious,False,,
469,493898,69,female,,True,car,
470,493983,52,male,serious,False,,
471,493983,26,male,,True,car,
472,494102,46,male,light,True,,
473,494102,,male,,False,,
474,494102,,male,,False,,
475,494102,,,,False,,
476,494209,54,male,serious,True,motorcycle,
477,494209,34,male,,True,car,
478,494363,,male,,True,motorcycle,
479,494363,,,grievous,False,,
480,494368,30,male,,False,,
481,494368,34,,grievous,False,,
482,494368,,male,,False,,
483,494438,77,female,serious,True,car,
484,494438,75,male,,False,,
485,494571,42,,serious,True,,
486,494571,,,,True,car,
487,494727,,female,serious,False,,
488,494727,82,male,,False,,
489,494856,70,male,grievous,True,motorcycle,
490,494856,58,male,,False,,
491,494910,,male,grievous,True,motorcycle,
492,494910,28,female,,True,car,
493,494910,33,male,,False,,
494,495320,,female,,False,,drunk
495,495320,,,,True,,
496,495320,,,,False,,
497,495504,,male,grievous,True,car,
498,495595,,,,True,,
499,495731,68,male,fatal,False,,
500,495731,67,male,,False,,
501,495731,66,female,,False,,
502,495731,,,,False,,
503,495807,43,female,,False,,
504,495807,19,male,,True,car,
505,495807,49,male,,True,car,
506,495807,50,male,,False,,
507,495807,,female,,False,,
508,495807,,,serious,False,,
509,495802,29,female,,False,,
510,495802,34,male,,False,,
511,495802,,,,False,,
512,495896,68,,,False,,
513,495942,49,male,,True,,
514,495942,,male,,False,,
515,496006,34,male,,True,car,drunk
516,496006,,male,,True,motorcycle,drunk
517,495969,28,female,,False,,
518,495969,34,male,,False,,
519,496158,,,,True,,
520,496158,,,,True,,
521,496202,61,male,serious,True,car,
522,496202,67,female,,False,,
523,496362,,,light,False,,
